step	op	A_coord	B_coord
2792	GAP_B	580628	NA
2797	GAP_B	581965	NA
2799	GAP_B	583040	NA
2800	GAP_B	584771	NA
2803	GAP_B	585585	NA
2806	GAP_A	NA	663099
2808	GAP_A	NA	663458
2810	GAP_A	NA	665002
2814	GAP_A	NA	666423
2817	GAP_A	NA	668367
2818	GAP_A	NA	669521
2823	GAP_B	589804	NA
2825	GAP_B	590216	NA
2826	GAP_B	590240	NA
2829	GAP_A	NA	672117
2838	GAP_A	NA	674443
2839	GAP_A	NA	675058
2840	GAP_A	NA	675530
2841	GAP_B	592596	NA
2842	GAP_B	592607	NA
2850	GAP_A	NA	676693
2855	GAP_B	595304	NA
2859	GAP_B	596763	NA
2874	GAP_B	599286	NA
2881	GAP_B	600026	NA
2884	GAP_B	600200	NA
2889	GAP_A	NA	683511
2891	GAP_A	NA	684037
2921	GAP_A	NA	689546
2922	GAP_B	607248	NA
2923	GAP_B	608469	NA
2924	GAP_B	609157	NA
2932	GAP_A	NA	692842
2933	GAP_A	NA	693179
2934	GAP_B	611404	NA
2938	GAP_A	NA	694323
2948	GAP_B	614429	NA
2952	GAP_A	NA	696841
2953	GAP_A	NA	696860
2967	GAP_B	618888	NA
2977	GAP_A	NA	702075
2996	GAP_B	625595	NA
3002	GAP_B	626840	NA
3007	GAP_A	NA	708617
3027	GAP_A	NA	711627
3031	GAP_A	NA	712014
3038	GAP_B	631909	NA
3046	GAP_A	NA	714371
3056	GAP_A	NA	717328
3070	GAP_A	NA	721373
3088	GAP_B	644301	NA
3106	GAP_A	NA	729747
3121	GAP_A	NA	732271
3135	GAP_B	654699	NA
3148	GAP_A	NA	741605
3154	GAP_B	662067	NA
3179	GAP_B	666244	NA
3187	GAP_B	667179	NA
3191	GAP_B	667886	NA
3193	GAP_A	NA	750061
3194	GAP_B	668922	NA
3195	GAP_B	669762	NA
3205	GAP_B	671757	NA
3206	GAP_B	671856	NA
3215	GAP_B	674087	NA
3217	GAP_B	674152	NA
3228	GAP_B	677135	NA
3231	GAP_A	NA	758657
3233	GAP_B	678350	NA
3237	GAP_A	NA	760220
3238	GAP_A	NA	760765
3239	GAP_B	679079	NA
3246	GAP_A	NA	762959
3248	GAP_B	681830	NA
3259	GAP_B	684739	NA
3272	GAP_A	NA	768329
3273	GAP_B	687188	NA
3274	GAP_B	688003	NA
3275	GAP_B	688254	NA
3276	GAP_B	688493	NA
3277	GAP_B	689013	NA
3324	GAP_B	698906	NA
3326	GAP_B	700172	NA
3328	GAP_A	NA	779976
3329	GAP_B	701135	NA
3337	GAP_B	702724	NA
3343	GAP_A	NA	784148
3349	GAP_B	705637	NA
3370	GAP_A	NA	788975
3389	GAP_A	NA	792975
3402	GAP_B	715228	NA
3403	GAP_B	716245	NA
3404	GAP_B	716344	NA
3405	GAP_B	716370	NA
3406	GAP_B	716779	NA
3407	GAP_B	716840	NA
3416	GAP_B	719653	NA
3417	GAP_B	719799	NA
3426	GAP_B	722293	NA
3444	GAP_A	NA	802712
3445	GAP_A	NA	802766
3446	GAP_A	NA	803060
3447	GAP_B	724502	NA
3460	GAP_A	NA	804748
3462	GAP_B	726814	NA
3468	GAP_A	NA	806387
3471	GAP_B	728705	NA
3478	GAP_B	735260	NA
3480	GAP_B	736000	NA
3482	GAP_B	736309	NA
3485	GAP_A	NA	814261
3488	GAP_B	737276	NA
3490	GAP_A	NA	816440
3491	GAP_B	738516	NA
3492	GAP_B	738543	NA
3498	GAP_B	740576	NA
3502	GAP_B	741250	NA
3527	GAP_B	746455	NA
3531	GAP_A	NA	825964
3532	GAP_A	NA	826834
3533	GAP_A	NA	826874
3535	GAP_B	748201	NA
3541	GAP_B	749631	NA
3545	GAP_A	NA	828842
3548	GAP_B	751323	NA
3551	GAP_A	NA	830208
3553	GAP_B	752359	NA
3555	GAP_B	752558	NA
3556	GAP_B	752632	NA
3570	GAP_B	756787	NA
3574	GAP_B	757268	NA
3579	GAP_A	NA	836283
3589	GAP_B	759253	NA
3619	GAP_A	NA	842923
3620	GAP_A	NA	843491
3622	GAP_A	NA	844931
3623	GAP_A	NA	845273
3627	GAP_A	NA	846322
3631	GAP_A	NA	847136
3633	GAP_A	NA	847312
3634	GAP_A	NA	847414
3635	GAP_A	NA	847505
3636	GAP_A	NA	847756
3642	GAP_A	NA	849925
3643	GAP_A	NA	850030
3644	GAP_A	NA	850066
3645	GAP_A	NA	850080
3646	GAP_A	NA	850101
3647	GAP_A	NA	850143
3648	GAP_A	NA	850168
3650	GAP_A	NA	850512
3651	GAP_A	NA	850665
3653	GAP_A	NA	850777
3654	GAP_A	NA	850854
3655	GAP_A	NA	850960
3657	GAP_A	NA	851271
3660	GAP_B	768147	NA
3662	GAP_A	NA	852390
3664	GAP_A	NA	852695
3665	GAP_A	NA	853022
3669	GAP_A	NA	853631
3671	GAP_A	NA	853845
3673	GAP_A	NA	854473
3677	GAP_A	NA	855768
3678	GAP_A	NA	855896
3680	GAP_A	NA	857227
3681	GAP_A	NA	857326
3687	GAP_A	NA	858471
3697	GAP_B	775937	NA
3716	GAP_A	NA	867004
3717	GAP_B	781123	NA
3726	GAP_B	783236	NA
3730	GAP_B	783584	NA
3747	GAP_B	787055	NA
3758	GAP_B	789199	NA
3759	GAP_B	789412	NA
3765	GAP_B	790266	NA
3780	GAP_A	NA	878009
3785	GAP_A	NA	878715
3786	GAP_B	793194	NA
3787	GAP_B	793473	NA
3796	GAP_B	796424	NA
3825	GAP_A	NA	892625
3826	GAP_A	NA	893005
3827	GAP_A	NA	893382
3828	GAP_A	NA	893481
3829	GAP_A	NA	893672
3831	GAP_A	NA	894679
3832	GAP_A	NA	895022
3833	GAP_A	NA	895251
3834	GAP_A	NA	895405
3835	GAP_A	NA	895471
3836	GAP_A	NA	896290
3837	GAP_A	NA	896691
3838	GAP_A	NA	896970
3840	GAP_A	NA	897641
3841	GAP_A	NA	898719
3842	GAP_A	NA	898813
3843	GAP_A	NA	899118
3844	GAP_A	NA	899171
3845	GAP_A	NA	900024
3846	GAP_A	NA	901399
3848	GAP_A	NA	902705
3850	GAP_A	NA	902938
3851	GAP_A	NA	904064
3852	GAP_A	NA	905447
3853	GAP_A	NA	905642
3854	GAP_A	NA	905858
3855	GAP_A	NA	905867
3856	GAP_A	NA	906073
3857	GAP_A	NA	906217
3858	GAP_A	NA	906234
3859	GAP_A	NA	906655
3860	GAP_A	NA	906745
3861	GAP_A	NA	906892
3862	GAP_A	NA	907252
3865	GAP_A	NA	907548
3868	GAP_A	NA	908320
3869	GAP_A	NA	908453
3870	GAP_A	NA	908558
3871	GAP_A	NA	908983
3872	GAP_A	NA	909037
3873	GAP_A	NA	909158
3875	GAP_A	NA	909353
3876	GAP_A	NA	909450
3879	GAP_A	NA	909856
3882	GAP_A	NA	910564
3883	GAP_A	NA	910692
3884	GAP_A	NA	911140
3885	GAP_A	NA	911203
3886	GAP_A	NA	911623
3887	GAP_A	NA	911695
3888	GAP_A	NA	911883
3889	GAP_A	NA	912063
3890	GAP_A	NA	912136
3891	GAP_A	NA	912228
3892	GAP_A	NA	912322
3893	GAP_A	NA	912390
3894	GAP_A	NA	912581
3895	GAP_A	NA	912653
3896	GAP_A	NA	913303
3898	GAP_A	NA	913533
3899	GAP_A	NA	913985
3900	GAP_A	NA	914004
3901	GAP_A	NA	914767
3902	GAP_A	NA	915344
3903	GAP_A	NA	915703
3904	GAP_A	NA	916051
3905	GAP_A	NA	916107
3906	GAP_A	NA	916458
3907	GAP_A	NA	916476
3908	GAP_A	NA	916656
3909	GAP_A	NA	917130
3910	GAP_A	NA	917586
3912	GAP_A	NA	918211
3913	GAP_A	NA	918386
3914	GAP_A	NA	918683
3916	GAP_A	NA	919793
3918	GAP_A	NA	920066
3919	GAP_A	NA	920224
3920	GAP_A	NA	920246
3921	GAP_A	NA	920438
3922	GAP_A	NA	920657
3923	GAP_A	NA	920688
3924	GAP_A	NA	921111
3925	GAP_A	NA	921827
3927	GAP_A	NA	922578
3928	GAP_A	NA	922869
3929	GAP_A	NA	923448
3930	GAP_A	NA	923511
3931	GAP_A	NA	923986
3932	GAP_A	NA	926514
3933	GAP_A	NA	926991
3934	GAP_A	NA	927516
3935	GAP_A	NA	927536
3936	GAP_A	NA	927568
3937	GAP_A	NA	927883
3938	GAP_A	NA	927891
3939	GAP_A	NA	928103
3940	GAP_A	NA	928235
3942	GAP_A	NA	930089
3943	GAP_A	NA	930134
3944	GAP_A	NA	930385
3945	GAP_A	NA	931905
3946	GAP_A	NA	932105
3947	GAP_A	NA	932534
3948	GAP_A	NA	932566
3949	GAP_A	NA	932648
3950	GAP_A	NA	932806
3951	GAP_A	NA	933107
3952	GAP_A	NA	933259
3953	GAP_A	NA	933424
3954	GAP_A	NA	933466
3955	GAP_A	NA	933635
3956	GAP_A	NA	933912
3957	GAP_A	NA	933961
3958	GAP_A	NA	934113
3960	GAP_A	NA	935366
3962	GAP_A	NA	935851
3963	GAP_A	NA	935969
3971	GAP_A	NA	938771
3978	GAP_A	NA	939211
3979	GAP_B	815192	NA
3980	GAP_B	815831	NA
3984	GAP_A	NA	940320
